"sifra_ko","obcina"
838,"DRAVOGRAD"
839,"DRAVOGRAD"
840,"DRAVOGRAD"
841,"DRAVOGRAD"
842,"DRAVOGRAD"
843,"DRAVOGRAD"
844,"DRAVOGRAD"
845,"SLOVENJ GRADEC"
846,"SLOVENJ GRADEC"
847,"SLOVENJ GRADEC"
848,"SLOVENJ GRADEC"
849,"SLOVENJ GRADEC"
850,"SLOVENJ GRADEC"
851,"SLOVENJ GRADEC"
852,"SLOVENJ GRADEC"
853,"SLOVENJ GRADEC"
854,"SLOVENJ GRADEC"
855,"SLOVENJ GRADEC"
856,"SLOVENJ GRADEC"
857,"SLOVENJ GRADEC"
858,"SLOVENJ GRADEC"
859,"SLOVENJ GRADEC"
860,"SLOVENJ GRADEC"
861,"SLOVENJ GRADEC"
862,"SLOVENJ GRADEC"
863,"MISLINJA"
864,"MISLINJA"
865,"MISLINJA"
866,"MISLINJA"
867,"MISLINJA"
868,"MISLINJA"
869,"PREVALJE"
870,"PREVALJE"
871,"RAVNE NA KOROŠKEM"
872,"RAVNE NA KOROŠKEM"
873,"PREVALJE"
874,"PREVALJE"
875,"PREVALJE"
876,"PREVALJE"
877,"KRANJ"
877,"RAVNE NA KOROŠKEM"
877,"PREVALJE"
878,"RAVNE NA KOROŠKEM"
879,"RAVNE NA KOROŠKEM"
880,"RAVNE NA KOROŠKEM"
882,"RAVNE NA KOROŠKEM"
883,"PREVALJE"
883,"RAVNE NA KOROŠKEM"
884,"PREVALJE"
885,"PREVALJE"
886,"PREVALJE"
887,"MEŽICA"
888,"MEŽICA"
889,"MEŽICA"
890,"MEŽICA"
891,"PREVALJE"
892,"PREVALJE"
893,"PREVALJE"
893,"RAVNE NA KOROŠKEM"
894,"RAVNE NA KOROŠKEM"
895,"RAVNE NA KOROŠKEM"
896,"RAVNE NA KOROŠKEM"
897,"RAVNE NA KOROŠKEM"
898,"RAVNE NA KOROŠKEM"
900,"ČRNA NA KOROŠKEM"
902,"ČRNA NA KOROŠKEM"
903,"ČRNA NA KOROŠKEM"
904,"ČRNA NA KOROŠKEM"
905,"ČRNA NA KOROŠKEM"
906,"ČRNA NA KOROŠKEM"
907,"ČRNA NA KOROŠKEM"
908,"ČRNA NA KOROŠKEM"
909,"SOLČAVA"
910,"SOLČAVA"
911,"LUČE"
912,"LUČE"
913,"LJUBNO"
914,"LJUBNO"
915,"MOZIRJE"
916,"MOZIRJE"
917,"MOZIRJE"
918,"MOZIRJE"
919,"RADOVLJICA"
919,"MOZIRJE"
920,"MOZIRJE"
921,"REČICA OB SAVINJI"
922,"REČICA OB SAVINJI"
923,"LJUBNO"
924,"LJUBNO"
925,"LUČE"
926,"LUČE"
927,"LUČE"
928,"LUČE"
929,"GORNJI GRAD"
930,"GORNJI GRAD"
931,"LJUBNO"
932,"LJUBNO"
932,"REČICA OB SAVINJI"
933,"LJUBNO"
933,"NAZARJE"
933,"REČICA OB SAVINJI"
934,"REČICA OB SAVINJI"
935,"REČICA OB SAVINJI"
936,"NAZARJE"
937,"MOZIRJE"
938,"NAZARJE"
939,"NAZARJE"
940,"NAZARJE"
941,"GORNJI GRAD"
942,"GORNJI GRAD"
943,"GORNJI GRAD"
944,"GORNJI GRAD"
945,"ŠOŠTANJ"
946,"ŠOŠTANJ"
947,"ŠOŠTANJ"
948,"ŠOŠTANJ"
949,"ŠOŠTANJ"
950,"VELENJE"
951,"VELENJE"
952,"VELENJE"
953,"VELENJE"
954,"VELENJE"
955,"VELENJE"
957,"VELENJE"
958,"ŠOŠTANJ"
959,"ŠOŠTANJ"
